dataType,accelX,accelY,accelZ
0,-0.72, -922.25, 349.79
0,-1.08, -922.13, 351.35
0,-1.92, -921.65, 351.35
0,-0.72, -921.05, 351.59
0,-1.32, -922.37, 350.75
0,-0.12, -923.80, 350.51
0,-1.56, -922.96, 351.35
0,-1.44, -922.25, 350.87
0,-1.56, -922.13, 351.23
0,-1.08, -923.44, 349.91
0,-0.96, -922.61, 350.87
0,-0.60, -922.13, 351.83
0,-0.60, -922.85, 350.63
0,-1.68, -922.85, 350.15
0,-0.84, -922.96, 350.51
0,-0.84, -922.01, 350.87
0,-2.04, -922.25, 351.35
0,-0.36, -922.61, 350.75
0,-1.20, -922.01, 350.27
0,-0.48, -922.13, 350.75
0,-1.08, -921.89, 351.35
0,-0.96, -922.96, 351.35
0,-1.56, -923.08, 351.11
0,-1.08, -922.61, 351.95
0,-1.08, -921.89, 350.39
0,-1.44, -923.08, 350.75
0,-0.72, -922.25, 351.59
0,-0.48, -922.37, 350.39
0,0.00, -922.61, 351.59
0,-0.72, -922.01, 350.51
0,-1.44, -922.13, 350.87
0,-0.48, -922.37, 351.71
0,-1.44, -922.13, 351.35
0,-0.24, -921.89, 351.23
0,-0.48, -922.37, 350.39
0,-0.84, -921.53, 350.75
0,-0.96, -921.65, 351.23
0,-1.08, -921.89, 350.75
0,-1.20, -922.01, 351.11
0,-0.48, -922.61, 351.35
0,-0.84, -923.20, 350.87
0,-0.60, -923.56, 350.75
0,-0.36, -922.13, 350.99
0,-0.96, -922.61, 350.99
0,-0.96, -922.61, 350.27
0,-1.44, -921.77, 350.99
0,-1.08, -923.20, 350.99
0,-0.72, -921.77, 350.75
0,-0.72, -922.49, 350.39
0,0.12, -922.13, 351.11
0,-1.08, -922.85, 350.51
0,-0.12, -922.61, 350.75
0,-1.32, -923.08, 350.15
0,-0.48, -922.49, 350.03
0,-0.84, -921.65, 349.91
0,-1.56, -921.65, 350.75
0,0.00, -922.49, 350.51
0,-0.84, -922.13, 350.51
0,-0.72, -921.65, 349.79
0,-0.84, -922.13, 349.79
0,-0.60, -923.32, 349.79
0,-1.44, -923.08, 350.39
0,-0.96, -923.20, 350.15
0,-0.12, -922.85, 350.63
0,-0.60, -921.89, 350.51
0,-1.32, -922.73, 350.03
0,-0.96, -922.96, 350.51
0,-1.56, -922.13, 349.67
0,-1.08, -922.13, 350.63
0,-0.96, -922.25, 349.79
0,-1.68, -922.85, 350.75
0,-0.84, -922.25, 350.51
0,0.00, -922.25, 350.15
0,-1.20, -922.01, 349.67
0,-0.84, -921.77, 350.15
0,-0.12, -922.37, 350.39
0,0.12, -922.96, 349.91
0,0.36, -922.01, 350.03
0,-1.32, -921.65, 349.19
0,-1.20, -922.01, 349.79
0,-0.96, -922.96, 350.51
0,-1.32, -923.08, 349.43
0,-0.96, -922.49, 350.27
0,-0.84, -922.96, 350.63
0,-1.08, -921.77, 349.55
0,0.12, -922.61, 349.79
0,-1.56, -922.25, 350.51
0,-1.44, -922.25, 349.43
0,-0.36, -921.89, 350.99
0,-0.96, -922.25, 349.55
