dataType,accelX,accelY,accelZ
0,15.56,-975.28,40.22
0,18.67,-979.11,41.54
0,17.36,-979.71,42.74
0,18.67,-977.91,41.06
0,18.32,-979.23,41.42
0,15.20,-978.39,40.94
0,18.91,-979.11,41.18
0,14.96,-978.15,42.62
0,17.12,-978.51,39.86
0,17.72,-978.39,41.30
0,14.13,-979.95,41.78
0,18.91,-978.63,35.08
0,15.44,-977.55,43.69
0,15.32,-979.83,41.42
0,16.76,-977.19,39.74
0,16.04,-978.87,39.74
0,20.23,-978.99,40.46
0,16.40,-977.79,40.82
0,17.60,-979.35,41.66
0,16.16,-979.11,39.03
0,17.36,-978.63,40.94
0,16.76,-978.75,42.62
0,17.00,-978.39,40.58
0,18.20,-980.66,41.54
0,16.28,-978.15,40.82
0,18.20,-979.59,40.82
0,15.68,-978.39,41.30
0,17.72,-978.39,39.86
0,17.36,-978.87,40.34
0,15.68,-979.23,40.70
0,17.84,-978.51,41.18
0,15.80,-979.23,40.46
0,25.38,-979.35,35.08
0,-18.20,-945.35,26.70
0,29.93,-986.17,112.29
0,-7.78,-965.82,22.15
0,12.93,-970.85,59.50
0,35.43,-971.57,35.31
0,-0.84,-972.41,46.09
0,28.73,-980.31,46.09
0,12.57,-976.59,33.88
0,17.84,-982.22,48.24
0,17.72,-973.60,39.38
0,18.20,-980.78,42.38
0,16.64,-981.02,38.67
0,19.75,-974.56,41.30
0,14.84,-979.71,44.53
0,18.08,-979.11,37.59
0,20.59,-977.79,42.02
0,11.37,-977.55,46.57
0,23.82,-979.35,37.35
0,14.84,-978.15,41.42
0,19.51,-978.39,40.58
0,18.79,-978.63,40.70
0,13.41,-977.79,42.74
0,21.07,-979.11,39.74
0,14.13,-976.95,42.74
0,17.96,-978.63,42.38
0,17.72,-978.63,39.74
0,16.52,-978.39,41.18
0,17.72,-977.31,41.42
0,15.56,-977.31,40.70
0,18.79,-979.59,41.90
0,15.80,-977.67,40.10
0,18.20,-978.87,42.50
0,16.16,-979.47,42.02
0,16.76,-978.99,40.10
0,17.84,-978.51,41.90
0,16.16,-977.55,42.74
0,19.39,-978.15,40.34
0,16.16,-978.39,41.66
0,17.84,-978.75,41.42
0,17.96,-979.35,41.42
0,16.04,-977.31,41.30
0,18.20,-978.87,41.66
0,16.16,-978.75,41.06
0,17.48,-978.87,41.78
0,17.00,-979.71,40.58
0,16.28,-978.75,42.02
0,17.48,-978.39,42.14
0,16.40,-978.75,40.70
0,18.32,-978.03,40.22
0,17.12,-977.91,40.82
0,17.24,-978.87,41.30
0,17.12,-978.27,41.66
0,17.12,-978.03,41.18
0,17.84,-978.15,40.82
0,17.24,-977.79,41.90
0,18.08,-978.99,40.70
0,18.08,-978.15,40.82
0,17.36,-977.79,41.18
0,17.48,-979.47,41.30
0,16.88,-978.15,40.46
0,18.20,-978.87,41.54
0,17.48,-978.87,39.26
0,16.88,-977.67,42.38
0,14.72,-978.51,42.26
0,17.48,-978.51,39.98
0,17.12,-977.55,40.94
0,16.88,-978.39,44.29
0,18.20,-979.23,40.82
0,16.76,-978.15,39.15
0,18.67,-978.75,39.86
0,15.20,-979.11,42.26
0,17.48,-978.99,40.70
0,17.24,-978.27,39.26
0,17.36,-977.79,40.34
0,17.84,-979.23,42.14
0,16.76,-978.63,40.70
0,18.56,-979.11,39.38
0,16.88,-977.67,40.94
0,17.12,-978.87,41.54
0,18.56,-977.55,41.66
0,17.48,-977.79,39.98
0,18.44,-977.79,41.18
0,16.16,-978.27,39.15
0,17.24,-979.11,42.38
0,17.36,-977.91,40.82
0,17.60,-978.51,39.74
0,17.00,-978.51,40.94
0,17.36,-978.99,42.02
0,17.48,-978.15,41.42
0,18.20,-978.63,40.94
0,17.36,-977.91,40.70
0,16.88,-978.75,42.50
0,16.04,-978.63,41.06
0,18.20,-978.51,40.82
0,16.64,-979.35,41.06
0,17.00,-979.47,41.66
0,16.88,-978.99,40.82
0,17.36,-978.39,40.94
0,17.60,-978.63,40.82
0,16.64,-978.39,41.66
0,17.96,-978.27,40.94
0,17.36,-978.39,40.58
0,18.20,-978.15,40.70
0,16.76,-979.47,41.18
0,17.60,-978.87,38.43
0,18.91,-978.87,41.54
0,16.64,-979.11,41.78
0,17.24,-978.51,43.10
0,18.67,-979.23,39.38
0,16.88,-979.71,41.78
0,18.32,-978.51,42.38
0,15.92,-978.39,41.90
0,17.12,-978.87,40.70
0,17.12,-978.03,41.18
0,16.64,-978.51,42.14
0,17.72,-979.11,41.54
0,17.48,-979.23,41.30
0,17.84,-978.51,41.54
0,17.48,-978.75,41.90
0,17.48,-978.75,42.02
0,17.00,-978.39,40.22
0,17.72,-978.75,41.18
0,18.44,-978.15,42.02
0,16.76,-977.67,41.18
0,16.76,-978.27,41.06
0,6.46,-982.46,30.17
0,23.94,-965.46,40.94
0,12.57,-988.57,36.99
0,13.77,-979.35,41.90
0,17.36,-979.83,44.17
0,17.72,-979.11,39.62
0,18.44,-977.67,42.98
0,16.64,-980.78,39.50
0,18.20,-976.95,40.70
0,16.64,-976.83,41.18
0,16.64,-978.63,41.30
0,18.56,-977.79,41.66
0,18.20,-978.87,41.78
0,16.28,-978.27,40.94
0,18.67,-979.47,41.90
0,16.28,-978.63,41.78
0,16.64,-976.83,40.34
0,18.08,-980.07,41.54
0,17.36,-977.91,41.78
0,17.36,-978.63,40.70
0,17.24,-978.51,41.42
0,16.76,-979.83,41.42
0,17.12,-978.39,40.82
0,17.12,-980.07,41.18
0,16.76,-978.75,40.46
0,17.00,-978.27,40.34
0,16.76,-978.51,40.10
0,17.48,-977.91,40.94
0,18.32,-977.79,40.10
0,16.64,-979.95,40.10
0,17.36,-978.51,40.58
0,17.84,-978.15,39.74
0,17.48,-978.87,40.58
0,17.36,-979.23,40.34
0,16.88,-978.39,40.58
0,17.12,-977.79,40.70
0,17.60,-977.31,41.54
0,16.88,-978.39,40.70
0,16.76,-978.51,41.18
0,16.76,-979.23,40.58
0,16.64,-978.99,41.66
0,17.24,-978.51,41.42
0,17.00,-978.87,40.46
0,16.88,-978.63,40.94
0,17.24,-978.39,42.26
0,17.60,-978.63,41.30
0,18.20,-978.51,40.34
0,16.52,-978.15,41.66
0,18.32,-979.11,43.57
0,16.64,-978.15,40.22
0,16.52,-978.27,42.86
0,16.28,-979.59,41.06
0,17.12,-978.39,41.18
0,18.08,-978.15,39.74
0,19.03,-978.87,42.86
0,16.40,-978.03,42.98
0,17.48,-977.91,42.26
0,16.52,-979.71,37.35
0,17.96,-979.47,43.45
0,14.60,-978.99,44.29
0,18.56,-978.99,39.74
0,17.96,-976.95,36.87
0,16.28,-976.59,45.49
0,3.71,-961.87,31.72
0,51.48,-1002.57,23.22
0,21.43,-992.64,49.44
0,14.13,-981.02,23.34
0,30.17,-979.23,35.43
0,14.60,-977.67,36.15
0,13.89,-980.66,54.23
0,11.97,-984.85,38.07
0,14.25,-980.31,34.84
0,17.12,-974.08,49.44
0,10.89,-978.63,44.41
0,20.11,-981.62,41.30
0,18.20,-978.87,36.87
0,19.27,-977.43,43.57
0,17.48,-979.83,44.53
0,16.28,-977.91,38.19
0,18.56,-978.03,39.26
0,14.48,-977.79,44.17
0,17.48,-979.59,42.86
0,17.96,-978.27,39.50
0,17.00,-978.51,41.78
0,18.08,-979.59,42.50
0,16.04,-977.55,42.38
0,17.96,-978.27,39.86
0,16.28,-978.99,42.50
0,17.48,-978.63,42.26
0,17.24,-977.91,41.54
0,16.76,-978.75,39.74
0,18.44,-978.27,40.46
0,16.40,-977.55,42.86
0,2.75,-964.62,35.43
0,51.60,-959.48,28.25
0,25.50,-988.57,38.91
0,11.49,-973.48,51.60
0,16.52,-982.94,48.72
0,19.03,-984.14,34.24
0,13.17,-978.39,38.31
0,19.87,-975.16,57.82
0,27.05,-980.07,30.77
0,20.47,-979.59,36.03
0,17.00,-976.00,53.75
0,13.17,-977.79,43.57
0,23.10,-978.39,31.00
0,16.04,-977.55,41.06
0,17.24,-976.95,49.80
0,16.64,-979.83,40.94
0,18.44,-978.03,34.12
0,17.36,-977.67,43.81
0,13.17,-979.11,47.29
0,18.56,-978.39,39.03
0,17.72,-978.75,36.63
0,16.64,-979.71,42.74
0,16.88,-979.35,43.57
0,16.52,-978.75,38.91
0,17.96,-979.71,39.50
0,15.80,-977.07,42.62
0,16.64,-979.35,43.93
0,17.12,-979.11,40.34
0,18.56,-978.87,39.15
0,17.12,-979.47,42.26
0,15.80,-978.63,42.62
0,18.44,-978.99,39.98
0,17.36,-978.63,40.22
0,17.72,-978.03,42.02
0,16.88,-978.63,42.38
0,15.56,-978.15,41.18
0,17.96,-979.11,40.22
0,16.16,-978.99,42.14
0,17.36,-978.99,42.50
0,17.96,-978.27,40.34
0,17.24,-978.87,40.46
0,17.60,-978.39,41.66
0,17.48,-978.99,42.38
0,17.60,-978.99,40.22
0,17.72,-978.99,41.18
0,16.64,-979.59,41.42
0,17.36,-978.75,41.66
0,17.36,-978.51,41.06
0,17.60,-979.47,40.94
0,17.12,-977.55,41.66
0,17.60,-978.03,41.30
0,17.00,-978.51,40.46
0,16.76,-978.75,41.66
0,17.96,-979.23,41.54
0,17.12,-978.75,41.90
0,16.76,-978.51,41.30
0,16.88,-979.35,40.94
0,17.36,-979.11,42.02
0,17.36,-978.51,41.54
0,16.76,-978.63,40.58
0,17.84,-979.23,40.94
0,16.52,-978.15,40.82
0,16.40,-979.35,41.18
0,16.40,-978.99,41.54
0,17.12,-978.63,40.70
0,17.60,-978.87,40.46
0,17.12,-978.75,41.18
0,17.36,-978.99,41.42
0,17.48,-978.99,40.82
0,17.24,-978.27,41.54
0,17.60,-978.87,41.18
0,16.64,-978.39,40.94
0,17.12,-979.47,40.58
0,17.72,-977.79,41.18
0,16.64,-977.67,40.94
0,17.00,-978.63,41.30
0,17.00,-978.87,41.54
0,17.36,-979.83,41.06
0,17.24,-978.75,41.06
0,16.88,-978.51,41.90
0,18.20,-978.27,40.58
0,17.24,-978.27,41.54
0,17.12,-978.75,40.70
0,16.88,-978.27,40.70
0,18.08,-979.11,40.58
0,16.64,-978.51,41.06
0,18.56,-978.51,41.18
0,17.12,-978.51,40.70
0,17.72,-978.27,41.66
0,16.28,-978.99,40.22
0,17.24,-978.15,41.78
0,16.64,-978.15,40.46
0,17.36,-978.27,41.06
0,17.12,-977.43,41.42
0,17.00,-978.03,40.34
0,17.72,-978.15,40.70
0,17.24,-978.39,41.42
0,16.88,-978.99,41.42
0,18.08,-978.39,41.42
0,17.12,-978.75,41.18
0,17.48,-978.27,41.90
0,17.24,-979.47,41.18
0,17.96,-977.31,40.82
0,17.36,-978.63,41.06
0,16.64,-978.51,40.82
0,17.12,-978.63,41.78
0,17.12,-978.63,40.82
0,17.96,-978.63,40.70
0,16.64,-979.35,40.58
0,17.84,-978.15,41.42
0,17.00,-978.51,40.70
0,16.88,-978.39,41.18
0,17.24,-978.15,40.82
0,17.72,-978.39,41.54
0,17.60,-978.63,41.18
0,17.24,-978.63,41.54
0,17.00,-979.35,40.82
0,17.00,-978.99,41.18
0,17.36,-978.75,40.70
0,16.88,-978.51,41.54
0,17.00,-978.03,41.78
0,16.76,-979.23,41.30
0,17.24,-978.63,41.30
0,16.76,-978.39,40.94
0,17.00,-979.35,41.18
0,17.48,-978.63,40.82
0,18.20,-978.75,40.94
0,17.24,-979.59,41.18
0,17.36,-978.39,40.70
0,17.72,-978.99,41.42
0,17.12,-978.51,41.42
0,17.24,-978.99,41.18
0,17.24,-978.51,41.90
0,16.88,-978.63,41.42
0,17.96,-978.15,41.78
0,17.60,-977.79,42.26
0,17.84,-980.66,42.62
0,17.24,-978.39,41.54
0,17.72,-977.67,40.70
0,17.48,-978.39,40.46
0,16.76,-980.07,41.30
0,16.76,-978.75,41.06
0,17.12,-978.51,41.18
0,17.96,-978.63,41.66
0,15.56,-892.92,38.91
0,16.28,-967.98,51.83
0,16.64,-976.00,46.45
0,16.04,-978.99,39.74
0,17.00,-977.19,39.50
0,16.76,-978.27,38.91
0,20.35,-983.06,40.34
0,16.16,-976.36,42.86
0,17.36,-978.15,40.58
0,18.56,-984.14,33.04
0,17.48,-980.43,35.67
0,17.84,-978.39,38.07
0,17.00,-978.63,37.71
0,17.24,-976.83,37.71
0,17.48,-978.39,35.55
0,17.60,-978.03,36.63
0,17.96,-978.39,37.95
0,18.32,-978.51,38.91
0,17.48,-976.36,36.75
0,18.56,-986.65,40.46
0,17.48,-971.33,47.17
0,18.79,-981.02,30.17
0,19.75,-976.71,40.70
0,16.76,-979.59,44.17
0,17.72,-978.75,37.47
0,18.08,-979.95,35.19
0,18.56,-979.35,35.67
0,16.88,-978.03,40.94
0,16.76,-978.27,40.70
0,19.15,-978.39,38.67
0,18.32,-978.51,37.83
0,17.24,-978.75,40.82
0,17.84,-978.39,38.79
0,18.08,-978.39,38.79
0,18.44,-978.39,38.67
0,17.36,-978.51,40.22
0,18.44,-979.11,38.91
0,17.48,-979.23,37.23
0,18.44,-978.39,36.99
0,16.52,-978.63,39.38
0,17.72,-979.47,38.07
0,17.84,-978.51,37.23
0,17.12,-979.23,36.03
0,17.96,-978.51,37.35
0,17.48,-978.75,38.07
0,18.44,-978.51,37.83
0,17.36,-978.87,37.35
0,17.36,-979.71,37.59
0,18.91,-978.51,38.07
0,18.08,-978.99,37.59
0,18.20,-978.15,37.47
0,17.84,-977.79,38.79
0,17.36,-978.27,37.95
0,17.96,-978.63,37.35
0,18.20,-978.39,37.47
0,16.88,-979.59,38.07
0,17.00,-977.91,39.38
0,18.08,-978.99,39.62
0,17.36,-978.15,38.31
0,17.48,-979.47,38.55
0,16.40,-975.64,40.22
0,16.40,-979.71,40.94
0,22.15,-960.43,38.67
0,15.80,-980.90,40.94
0,15.44,-980.07,27.89
0,13.89,-979.83,38.31
0,22.86,-972.52,28.97
0,18.67,-980.19,39.86
0,16.52,-978.51,44.77
0,17.84,-979.83,33.88
0,19.15,-977.43,33.04
0,17.00,-979.83,39.03
0,16.64,-978.87,42.38
0,18.20,-978.15,38.31
0,18.79,-976.95,36.15
0,17.48,-979.35,39.26
0,16.88,-978.51,40.10
0,16.76,-978.15,36.99
0,18.67,-978.39,37.83
0,17.60,-979.95,40.46
0,16.88,-979.71,39.98
0,18.08,-978.75,36.75
0,18.56,-978.27,37.71
0,17.00,-978.75,39.98
0,17.72,-977.91,39.74
0,17.60,-979.35,39.50
0,19.15,-978.15,38.19
0,18.08,-979.23,38.79
0,17.60,-979.35,40.10
0,17.60,-978.75,39.26
0,18.44,-978.15,38.91
0,18.44,-979.35,39.15
0,17.48,-977.91,39.03
0,17.72,-979.11,39.03
0,17.84,-978.51,38.43
0,17.72,-978.87,38.79
0,17.48,-978.51,39.74
0,18.79,-978.87,38.55
0,17.72,-978.63,38.07
0,17.96,-978.87,39.15
0,18.20,-978.27,39.03
0,17.48,-978.87,38.67
0,18.08,-978.03,39.26
0,17.36,-978.27,39.86
0,17.48,-978.03,36.87
0,18.91,-976.00,40.34
0,17.00,-979.11,38.19
0,18.44,-978.27,39.50
0,24.90,-974.32,39.86
0,25.26,-977.43,65.00
0,19.63,-976.95,42.62
0,27.05,-976.95,42.86
0,14.96,-980.31,30.65
0,14.01,-980.19,41.30
0,15.92,-982.70,45.73
0,9.58,-977.55,37.47
0,20.11,-979.71,33.88
0,19.15,-983.78,30.17
0,16.16,-978.39,39.62
0,20.95,-978.63,44.89
0,16.52,-978.27,33.64
0,17.60,-977.31,37.35
0,17.12,-979.23,40.46
0,17.12,-978.87,40.46
0,20.59,-980.07,37.35
0,19.87,-1021.73,50.40
0,23.46,-969.53,47.05
0,2.15,-950.14,22.03
0,4.91,-970.01,36.75
0,14.13,-958.76,52.19
0,32.80,-1413.06,277.73
0,-32.56,-943.32,4.43
0,-25.86,-992.04,77.09
0,-11.61,-1038.60,12.09
0,35.19,-1031.06,32.32
0,19.51,-1011.55,25.26
0,3.71,-963.79,38.19
0,24.78,-980.78,37.71
0,24.06,-975.76,16.40
0,14.72,-977.79,32.44
0,16.16,-980.66,37.59
0,26.58,-979.11,26.93
0,18.08,-978.99,22.86
0,20.35,-976.83,45.97
0,34.60,-942.96,78.17
0,-1.68,-977.91,23.82
0,17.60,-978.03,40.70
0,19.51,-981.38,43.69
0,20.35,-979.59,17.72
0,16.64,-982.22,31.96
0,14.60,-980.31,33.04
0,11.01,-976.48,24.18
0,17.24,-980.19,24.78
0,4.91,-974.80,31.60
0,15.92,-977.31,34.48
0,20.95,-979.71,28.49
0,12.45,-978.39,29.09
0,19.63,-978.27,34.84
0,12.33,-979.11,35.31
0,19.39,-980.43,29.33
0,15.92,-978.87,21.67
0,11.61,-977.79,37.47
0,22.63,-979.23,31.00
0,9.70,-977.67,24.06
0,16.52,-980.31,24.54
0,14.84,-976.48,26.82
0,14.96,-978.39,32.80
0,15.92,-978.03,29.69
0,16.76,-978.27,27.17
0,13.65,-980.90,30.65
0,6.46,-983.90,26.10
0,14.01,-981.26,32.68
0,14.01,-979.71,36.15
0,18.67,-979.23,33.04
0,11.97,-981.50,32.92
0,16.40,-981.38,30.17
0,19.15,-980.07,36.87
0,14.48,-976.24,36.15
0,16.76,-979.83,33.28
0,16.64,-982.58,34.00
0,9.46,-978.27,31.12
0,24.42,-975.88,32.44
0,15.32,-979.59,33.16
0,18.44,-978.51,31.84
0,20.95,-977.79,35.55
0,12.93,-978.27,31.96
0,19.39,-979.95,33.40
0,17.12,-978.87,31.60
0,17.60,-978.39,32.56
0,17.60,-978.87,33.52
0,16.64,-978.75,33.28
0,16.04,-978.27,34.12
0,17.36,-978.75,32.20
0,16.64,-979.11,33.40
0,17.12,-978.87,33.88
0,17.36,-979.35,33.52
0,16.28,-978.75,33.28
0,18.56,-979.23,32.32
0,15.32,-979.11,34.36
0,15.44,-978.63,34.24
0,16.52,-977.79,31.84
0,16.64,-979.11,32.92
0,17.24,-978.51,33.52
0,15.80,-978.99,34.12
0,16.28,-978.51,32.32
0,17.00,-979.11,33.76
0,16.28,-979.71,32.44
0,16.52,-978.27,33.64
0,16.76,-979.11,32.08
0,18.08,-978.63,33.64
0,17.00,-979.35,32.20
0,16.88,-979.35,34.00
