dataType,accelX,accelY,accelZ
0,-96.61,-972.41,121.86
0,-93.61,-969.65,123.42
0,-93.97,-968.33,122.46
0,-95.29,-968.93,122.70
0,-92.18,-970.37,122.10
0,-95.17,-969.89,122.10
0,-93.73,-968.10,124.38
0,-93.97,-971.93,121.27
0,-94.57,-970.01,121.98
0,-95.29,-969.77,122.94
0,-94.09,-970.13,122.82
0,-94.69,-969.17,122.22
0,-93.85,-970.85,123.18
0,-93.49,-969.77,122.94
0,-95.41,-968.81,122.34
0,-94.33,-970.73,122.94
0,-95.05,-970.73,122.46
0,-94.57,-968.93,121.75
0,-94.33,-970.49,123.66
0,-94.09,-969.05,122.82
0,-94.57,-970.01,121.98
0,-95.53,-969.41,121.75
0,-93.97,-969.41,122.58
0,-93.73,-969.65,122.46
0,-94.21,-970.13,121.98
0,-94.45,-969.89,121.51
0,-93.73,-970.13,122.46
0,-94.93,-970.37,121.75
0,-94.33,-969.29,121.63
0,-94.45,-970.25,121.27
0,-94.45,-970.01,121.86
0,-93.97,-969.41,120.91
0,-93.97,-970.37,121.51
0,-94.09,-970.01,121.63
0,-93.25,-970.25,120.91
0,-92.66,-970.13,121.75
0,-94.45,-970.25,121.98
0,-94.57,-969.05,122.22
0,-93.97,-970.25,122.22
0,-93.49,-969.53,122.34
0,-94.33,-968.57,121.51
0,-93.25,-970.13,122.70
0,-94.21,-970.61,121.39
0,-95.17,-970.25,121.75
0,-93.97,-970.13,122.82
0,-93.85,-969.89,121.75
0,-93.61,-970.25,122.70
0,-93.73,-970.49,121.98
0,-94.57,-970.49,122.10
0,-93.97,-969.05,122.22
0,-93.49,-970.13,122.82
0,-94.33,-970.01,122.46
0,-94.93,-969.77,122.94
0,-94.81,-970.13,122.22
0,-94.09,-970.37,122.22
0,-93.73,-969.77,123.54
0,-94.57,-970.13,122.46
0,-93.73,-970.37,123.54
0,-94.21,-970.37,123.78
0,-94.69,-970.13,123.18
0,-94.21,-969.05,123.66
0,-94.57,-970.73,123.66
0,-95.29,-969.65,123.66
0,-93.61,-969.77,122.70
0,-94.69,-971.33,124.38
0,-94.81,-970.13,123.66
0,-93.85,-969.77,122.70
0,-93.85,-968.81,123.18
0,-94.21,-970.01,121.98
0,-93.85,-970.25,122.34
0,-94.69,-969.41,123.18
0,-95.05,-969.29,122.34
0,-94.09,-969.17,123.30
0,-93.97,-970.49,122.46
0,-94.33,-969.41,122.46
0,-94.33,-969.05,122.58
0,-94.93,-970.25,122.22
0,-94.21,-968.69,122.70
0,-94.81,-970.37,122.46
0,-94.93,-969.65,121.63
0,-93.85,-969.17,122.58
0,-94.81,-970.25,121.51
0,-93.73,-969.89,121.86
0,-94.57,-970.37,121.86
0,-94.81,-968.69,121.75
0,-94.57,-969.05,121.15
0,-94.33,-969.53,121.63
0,-94.45,-969.77,121.63
0,-95.05,-969.77,121.39
0,-94.93,-969.29,122.22
0,-93.97,-970.73,122.58
0,-93.73,-969.65,122.34
0,-93.85,-970.01,121.63
0,-94.33,-969.17,123.06
0,-94.57,-969.41,122.82
0,-95.05,-969.65,122.22
0,-93.73,-969.29,123.06
0,-94.45,-969.77,123.54
0,-94.09,-969.41,122.94
0,-94.45,-970.25,122.82
0,-94.09,-969.53,122.58
0,-94.21,-969.41,121.75
0,-94.57,-970.01,121.75
0,-94.45,-969.29,121.86
0,-95.05,-969.77,121.86
0,-94.45,-969.53,122.34
0,-93.97,-969.89,121.51
0,-94.09,-969.29,122.58
0,-94.93,-970.01,121.39
0,-94.21,-970.25,121.86
0,-94.09,-969.17,122.22
0,-94.45,-970.13,121.86
0,-94.33,-969.89,122.10
0,-94.21,-969.89,121.75
0,-94.45,-969.41,122.70
0,-93.85,-970.49,121.51
0,-94.21,-968.81,122.70
0,-92.90,-969.65,121.51
0,-94.93,-969.89,122.34
0,-94.57,-968.57,122.58
0,-93.61,-969.77,122.34
0,-94.09,-969.65,122.82
0,-93.97,-969.53,122.10
0,-93.85,-969.41,122.10
0,-93.73,-969.77,121.39
0,-93.61,-968.81,122.22
0,-94.69,-970.01,121.86
0,-94.09,-969.65,122.58
0,-94.81,-970.13,122.82
0,-93.85,-969.53,121.75
0,-93.49,-969.77,122.94
0,-94.33,-970.01,122.22
0,-94.45,-968.81,123.18
0,-94.33,-969.89,122.22
0,-94.09,-969.41,122.22
0,-94.45,-969.05,122.82
0,-94.21,-969.89,121.03
0,-94.21,-969.65,121.63
0,-93.61,-969.89,122.10
0,-94.33,-970.13,121.39
0,-94.33,-969.17,122.46
0,-93.61,-970.25,122.46
0,-94.33,-970.25,122.94
0,-95.05,-969.89,121.75
0,-94.21,-969.05,121.86
0,-94.09,-969.65,122.22
0,-94.93,-970.01,120.79
0,-93.49,-970.01,121.98
0,-91.94,-985.57,120.55
0,-99.72,-975.40,120.43
0,-85.11,-963.07,131.92
0,-99.00,-973.12,129.41
0,-107.14,-965.10,115.40
0,-87.27,-969.77,128.81
0,-100.56,-975.52,130.72
0,-87.03,-964.38,114.80
0,-98.04,-973.84,117.08
0,-108.70,-961.99,132.88
0,-89.06,-960.91,124.74
0,-87.99,-982.82,107.26
0,-104.27,-970.37,134.31
0,-95.89,-967.98,146.53
0,-85.71,-973.12,102.83
0,-99.84,-969.77,117.68
0,-87.75,-968.22,146.53
0,-98.16,-969.89,124.50
0,-93.85,-972.64,108.82
0,-96.37,-969.41,119.23
0,-101.87,-967.02,135.51
0,-95.89,-967.02,119.95
